City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
109,Airai,-8.9266,125.4092,14.72,broken clouds,94,78,0.98,TL,1678046138
110,Fairbanks,64.8378,-147.7164,-10.1,overcast clouds,69,98,1.05,US,1678046138
111,Lazaro Cardenas,17.9583,-102.2,27.38,scattered clouds,61,26,4.19,MX,1678046138
112,Bama,11.5221,13.6856,31.08,overcast clouds,12,100,3.85,NG,1678046138
113,Praia Da Vitoria,38.7333,-27.0667,16.14,scattered clouds,72,40,6.79,PT,1678046139
114,Marquette,46.5333,-87.6335,5.69,overcast clouds,63,96,3.13,US,1678046139
115,Ikom,5.9667,8.7063,23.38,light rain,90,100,2.35,NG,1678046139
116,Kavieng,-2.5744,150.7967,26.76,overcast clouds,75,100,1.55,PG,1678046139
117,Talcahuano,-36.7167,-73.1167,20.82,clear sky,64,0,6.17,CL,1678046139
118,Waipawa,-41.4122,175.5153,12.2,few clouds,76,20,2.67,NZ,1678046139
119,Magistralnyy,56.1725,107.4458,-15.57,overcast clouds,95,100,2.01,RU,1678046018
120,Kapit,2.0167,112.9333,22.8,overcast clouds,100,100,0.62,MY,1678046141
121,Eirunepe,-6.6603,-69.8736,28.17,overcast clouds,73,95,0.89,BR,1678046141
122,Deputatskiy,69.3,139.9,-26.94,overcast clouds,99,100,0.55,RU,1678046144
123,Hilo,19.7297,-155.09,25.16,clear sky,80,0,0.89,US,1678045962
124,George Town,5.4112,100.3354,25.96,few clouds,83,20,2.57,MY,1678046033
125,Russell,32.3502,-85.1999,25.6,clear sky,37,0,1.28,US,1678046145
126,Richards Bay,-28.783,32.0377,23.95,clear sky,82,0,5.21,ZA,1678046145
127,Taoudenni,22.6783,-3.9836,27.57,clear sky,11,0,4.19,ML,1678046145
128,Malakal,9.5334,31.6605,32.46,clear sky,13,6,2.18,SS,1678046146
129,Palmer,42.1584,-72.3287,7.51,broken clouds,59,57,3.13,US,1678046146
130,Esperance,-33.8667,121.9,17.95,overcast clouds,69,95,7.43,AU,1678046000
131,Canyon,34.9803,-101.9188,25.82,broken clouds,10,66,9.37,US,1678046146
132,Yellowknife,62.456,-114.3525,-25.25,broken clouds,64,75,4.12,CA,1678046146
133,Mahebourg,-20.4081,57.7,24.16,moderate rain,100,75,1.03,MU,1678046146
134,Soe,-9.8607,124.284,17.86,broken clouds,95,62,1.54,ID,1678046146
135,Narsaq,60.9167,-46.05,1.2,clear sky,77,7,3.18,GL,1678046146
136,Namibe,-15.1961,12.1522,22.16,clear sky,69,1,2.6,AO,1678046147
137,Nikolskoye,59.7035,30.7861,-3.45,snow,98,100,0.93,RU,1678046147
138,Upernavik,72.7868,-56.1549,-5.93,broken clouds,82,51,2.62,GL,1678046147
139,Baculin,7.4525,126.5842,23.95,overcast clouds,86,100,3.92,PH,1678046147
140,Tiksi,71.6872,128.8694,-21.31,overcast clouds,100,100,1.86,RU,1678046147
141,Saint George,37.1041,-113.5841,12.33,clear sky,32,0,6.17,US,1678046147
142,Ayolas,-27.4,-56.9,35.17,clear sky,26,0,4.76,PY,1678046147
143,Butaritari,3.0707,172.7902,26.8,overcast clouds,78,100,2.74,KI,1678046147
144,Bathsheba,13.2167,-59.5167,28.34,few clouds,65,20,8.75,BB,1678046148
145,Codrington,-38.2667,141.9667,13.05,broken clouds,85,67,4.33,AU,1678046148
146,Staryy Nadym,65.6118,72.6842,-27.52,broken clouds,100,57,3.13,RU,1678046148
147,Hokitika,-42.7167,170.9667,12.64,clear sky,64,0,2.11,NZ,1678046148
148,Agirish,61.9247,63.0231,-12.92,overcast clouds,99,99,1.77,RU,1678046148
149,Valday,57.9747,33.2525,-6.87,overcast clouds,99,100,1.86,RU,1678046149
150,Mazatlan,23.2167,-106.4167,23.84,clear sky,65,0,2.24,MX,1678046149
151,Zapolyarnyy,69.4154,30.8136,-11.4,overcast clouds,99,100,1.88,RU,1678046149
152,Nara,34.6851,135.8049,6.0,clear sky,59,0,0.74,JP,1678046149
153,Carnarvon,-24.8667,113.6333,24.8,clear sky,69,0,10.36,AU,1678046149
154,Sampit,-2.5333,112.95,22.89,overcast clouds,99,100,1.08,ID,1678046149
155,Pacific Grove,36.6177,-121.9166,12.79,overcast clouds,70,97,3.13,US,1678046149
156,Ponta Do Sol,32.6667,-17.1,19.45,broken clouds,85,60,3.36,PT,1678046149
157,Kapuskasing,49.4169,-82.4331,3.05,broken clouds,44,75,4.63,CA,1678046149
158,Bhikangaon,21.8667,75.95,25.7,clear sky,33,9,1.23,IN,1678046150
159,Karratha,-20.7377,116.8463,29.02,light rain,72,59,4.83,AU,1678046150
160,Korla,41.7597,86.1469,6.04,clear sky,45,4,1.39,CN,1678046150
161,Chokurdakh,70.6333,147.9167,-46.08,broken clouds,100,61,0.92,RU,1678046150
162,Marsh Harbour,26.5412,-77.0636,26.35,scattered clouds,66,34,2.17,BS,1678046150
163,Ancud,-41.8697,-73.8203,16.95,broken clouds,86,72,6.54,CL,1678046150
164,Todos Santos,23.45,-110.2167,19.69,clear sky,73,2,4.32,MX,1678046151
165,Victoria,22.2855,114.1577,18.03,clear sky,67,0,6.71,HK,1678046151
166,Mwene-Ditu,-7.0,23.45,19.69,light rain,94,98,1.66,CD,1678046151
167,Rio Brilhante,-21.8019,-54.5464,28.84,clear sky,72,10,2.58,BR,1678046138
168,Folkestone,51.0833,1.1833,3.88,overcast clouds,67,100,1.34,GB,1678046151
169,Guerrero Negro,27.9769,-114.0611,16.16,overcast clouds,59,99,7.61,MX,1678046151
170,Eureka,40.8021,-124.1637,7.92,overcast clouds,77,100,2.24,US,1678046152
171,Pevek,69.7008,170.3133,-37.03,overcast clouds,100,100,3.62,RU,1678046152
172,Mocuba,-16.8392,36.9856,22.4,light rain,98,100,0.79,MZ,1678046153
173,Chuy,-33.6971,-53.4616,24.89,clear sky,61,0,4.99,UY,1678046153
174,Ginda,30.6945,78.4932,8.54,clear sky,34,0,3.25,IN,1678046153
175,Georgetown,5.4112,100.3354,25.96,few clouds,83,20,2.57,MY,1678046095
176,Goma,-1.6792,29.2228,18.4,overcast clouds,83,87,1.31,CD,1678046153
177,Sao Filipe,14.8961,-24.4956,23.13,overcast clouds,67,100,3.6,CV,1678046153
178,Klyuchi,52.2667,79.1667,-7.08,overcast clouds,94,88,3.78,RU,1678046154
179,Alice,27.7523,-98.0697,28.85,clear sky,36,0,6.17,US,1678046154
180,Spring Hill,28.4769,-82.5255,31.24,overcast clouds,67,100,2.24,US,1678046154
181,Tarakan,3.3,117.6333,24.92,overcast clouds,82,98,1.94,ID,1678046154
182,Cidreira,-30.1811,-50.2056,23.4,overcast clouds,88,100,7.15,BR,1678046154
183,Tias,28.9611,-13.645,18.82,few clouds,68,20,3.6,ES,1678046154
184,Iskitim,54.6366,83.3045,-4.88,snow,97,100,1.73,RU,1678046154
185,Pimenta Bueno,-11.6725,-61.1936,28.96,broken clouds,77,66,1.11,BR,1678046154
186,Belmonte,-15.8631,-38.8828,27.31,overcast clouds,70,85,3.51,BR,1678046155
187,Talnakh,69.4865,88.3972,-26.0,overcast clouds,97,100,2.96,RU,1678046155
188,Nouadhibou,20.931,-17.0347,21.99,scattered clouds,60,39,5.66,MR,1678046155
189,Egvekinot,66.3167,-179.1667,-8.57,snow,96,100,0.76,RU,1678046155
190,Jieshi,22.8134,115.8257,15.45,clear sky,68,0,6.53,CN,1678046155
191,Saldanha,-33.0117,17.9442,18.03,scattered clouds,86,34,7.76,ZA,1678046155
192,Ganzhou,28.8184,115.4327,12.92,clear sky,42,0,0.76,CN,1678046155
193,Vaasa,63.096,21.6158,-2.99,light snow,92,100,4.02,FI,1678046155
194,Nalut,30.3333,10.85,12.25,overcast clouds,24,86,2.83,LY,1678046156
195,Hermanus,-34.4187,19.2345,17.67,light rain,84,99,4.28,ZA,1678045995
196,Bosaso,11.2842,49.1816,24.81,clear sky,77,8,1.01,SO,1678046156
197,Katobu,-4.9408,122.5276,23.73,overcast clouds,93,100,1.8,ID,1678046156
198,Tasiilaq,65.6145,-37.6368,-8.11,scattered clouds,80,49,2.01,GL,1678046156
199,Knysna,-34.0363,23.0471,18.7,light rain,91,37,6.08,ZA,1678046156
200,Andenes,69.3143,16.1194,-4.01,light snow,80,75,10.29,NO,1678046156
201,Kismayo,-0.3582,42.5454,25.71,few clouds,86,20,6.97,SO,1678046157
202,Seoul,37.5683,126.9778,0.69,clear sky,66,0,1.03,KR,1678046158
203,Nemuro,43.3236,145.575,-0.58,clear sky,81,5,4.82,JP,1678046159
204,Progreso,21.2833,-89.6667,35.06,scattered clouds,52,35,6.28,MX,1678046159
205,Senador Guiomard,-10.1522,-67.7392,23.86,overcast clouds,93,99,1.9,BR,1678046159
206,Ardakan,32.31,54.0175,18.07,overcast clouds,24,93,2.28,IR,1678046159
207,Mayo,38.8876,-76.5119,17.85,clear sky,34,0,5.66,US,1678046159
208,Buin,-33.7333,-70.75,32.81,clear sky,17,0,5.04,CL,1678046159
209,Pabrade,55.0,25.7833,-3.75,light snow,94,100,3.16,LT,1678046159
210,Mopti,14.6667,-4.0,32.72,scattered clouds,9,26,3.89,ML,1678045881
211,Honiara,-9.4333,159.95,25.13,overcast clouds,88,100,3.8,SB,1678046159
212,Mayumba,-3.432,10.6554,26.35,scattered clouds,86,31,2.53,GA,1678046160
213,Salalah,17.0151,54.0924,23.93,clear sky,64,0,0.78,OM,1678046081
214,Alice Springs,-23.7,133.8833,19.75,clear sky,45,1,3.09,AU,1678046160
215,Torbay,47.6666,-52.7314,-1.9,few clouds,60,20,5.14,CA,1678046160
216,Saint-Augustin,51.226,-58.6502,2.23,light rain,99,100,8.21,CA,1678046160
217,Urucara,-2.5364,-57.76,28.29,overcast clouds,85,99,1.11,BR,1678046160
218,Dingle,10.9995,122.6711,23.4,broken clouds,84,84,4.89,PH,1678046160
219,Bengkulu,-3.8004,102.2655,23.4,light rain,91,35,1.56,ID,1678046160
220,Acarau,-2.8856,-40.12,27.76,overcast clouds,77,98,7.42,BR,1678046161
221,Sao Joao Da Barra,-21.6403,-41.0511,30.05,overcast clouds,81,96,7.36,BR,1678046161
222,Saskylakh,71.9167,114.0833,-26.71,overcast clouds,99,100,2.71,RU,1678046161
223,Dikson,73.5069,80.5464,-33.45,broken clouds,100,68,1.62,RU,1678046161
